K0001
	G12	ཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ་	bstod tshogs, ka 96b6-98a (p.49-3-6)	jig rten las 'das par bstod pa 
	N2012	འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ	bstod tshogs, ka 75b8-77a3. (ff.75v-77r (pp.150-153))	'jig rten las 'das par bstod pa
	Q2012	འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ	bstod tshogs, ka 79a5-80b2 (vol.46, p.33)	'jig rten las 'das par bstod pa

K0013
	D1121	སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ	bstod tshogs, ka 69b4-70a2.	sems kyi rdo rje'i bstod pa
	G13	སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ་	bstod tshogs, ka 98a5 (p.50-1-5)	sems kyi rdo rje'i bstod pa 
	N2013	སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ	bstod tshogs, ka 77a3-77b2. (ff.77r-77v (pp.153-154))	sems kyi rdo rje'i bstod pa
	Q2013	སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ	bstod tshogs, ka 80b3-80b8 (vol.46, p.34)	sems kyi rdo rje'i bstod pa

K0014
	D1122	དོན་དམ་པར་བསྟོད་པ	bstod tshogs, ka 70a2-70b2.	don dam par bstod pa
	G14	དོན་དམ་པར་བསྟོད་པ་	bstod tshogs, ka 98b4-99b (p.51-1-4)	don dam par bstod pa 
	N2014	དོན་དམ་པར་བསྟོད་པ	bstod tshogs, ka 77b2-78a4. (ff.77v-78r (pp.154-155))	don dam par bstod pa
	Q2014	དོན་དམ་པར་བསྟོད་པ	bstod tshogs, ka 81a1-81b2 (vol.46, p.34)	don dam par bstod pa

K0015
	D1123	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 70b2-71a2.	sku gsum la bstod pa zhes bya ba
	G15	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བ་	bstod tshogs, ka 99b1-100a (p.51-2-1)	sku gsum la bstod pa zhes bya ba 
	N2015	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 78a4-78b5. (ff.78r-78v (pp.155-156))	sku gsum la bstod pa zhes bya ba
	Q2015	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 81b2-82a3 (vol.46, p.34)	sku gsum la bstod pa zhes bya ba

K0016
	D1124	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ	bstod tshogs, ka 71a2-74b3.	sku gsum la bstod pa zhes bya ba'i rnam par 'grel pa
	G16	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ་	bstod tshogs, ka 101b1-106a (p.51-4-1)	sku gsum la bstod pa zhes bya ba'i rnam par 'grel pa 
	N2016	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ	bstod tshogs, ka 78b5-82b4. (ff.78v-82v (pp.156-164))	sku gsum la bstod pa zhes bya ba'i rnam par 'grel pa
	Q2016	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ	bstod tshogs, ka 82a4-86a8 (vol.46, p.35)	sku gsum la bstod pa zhes bya ba'i rnam par 'grel pa

K0017
	D1125	སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ	bstod tshogs, ka 74b3-75b1.	sems can mgu bar bya ba'i bstod pa
	G17	སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ་	bstod tshogs, ka 106a5 (p.54-1-5)	sems can mgu bar bya ba'i bstod pa 
	N2017	སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ	bstod tshogs, ka 82b4-83b5. (ff.82v-83v (pp.164-166))	sems can mgu bar bya ba'i bstod pa
	Q2017	སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ	bstod tshogs, ka 86a8-87b2 (vol.46, p.36)	sems can mgu bar bya ba'i bstod pa

K0018
	D1127	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་བསྟོད་པ	bstod tshogs, ka 76a-76b7.	shes rab kyi pha rol tu phyin pa'i bstod pa
	G18	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་བསྟོད་པ་	bstod tshogs, ka 108a-109b (p.55-3-1)	shes rab kyi pha rol tu phyin pa'i bstod pa 
	N2018	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་བསྟོད་པ	bstod tshogs, ka 83b5-84b5. (ff.83v-84v (pp.166-168))	shes rab kyi pha rol tu phyin pa'i bstod pa
	Q2018	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་བསྟོད་པ	bstod tshogs, ka 87b2-88b3 (vol.46, p.37)	shes rab kyi pha rol tu phyin pa'i bstod pa

K0019
	D1128	བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ	bstod tshogs, ka 76b7-79a2.	bsam gyis mi khyab par bstod pa
	G19	བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ་	bstod tshogs, ka 109b2 (p.55-4-2)	bsam gyis mi khyab par bstod pa 
	N2019	བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ	bstod tshogs, ka 84b5-87a4. (ff.84v-87r (pp.168-173))	bsam gyis mi khyab par bstod pa
	Q2019	བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ	bstod tshogs, ka 88b3-91a4 (vol.46, p.37)	bsam gyis mi khyab par bstod pa

K0020
	D1129	བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ	bstod tshogs, ka 79a2-79b6.	bstod pa las 'das par bstod pa
	G20	བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ་	bstod tshogs, ka 112b1 (p.57-3-1)	bstod pa las 'das par bstod pa 
	N2020	བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ	bstod tshogs, ka 87a5-88a4. (ff.87r-88r (pp.173-175))	bstod pa las 'das par bstod pa
	Q2020	བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ	bstod tshogs, ka 91a4-92a3 (vol.46, p.38)	bstod pa las 'das par bstod pa

K0021
	D1130	བླ་ན་མེད་པའི་བསྟོད་པ	bstod tshogs, ka 79b6-80a4.	bla na med pa'i bstod pa
	G21	བླ་ན་མེད་པའི་བསྟོད་པ་	bstod tshogs, ka 113b1 (p.57-4-1)	bla na med pa'i bstod pa 
	N2021	བླ་ན་མེད་པའི་བསྟོད་པ	bstod tshogs, ka 88a4-88b2. (ff.88r-88v (pp.175-176))	bla na med pa'i bstod pa
	Q2021	བླ་ན་མེད་པའི་བསྟོད་པ	bstod tshogs, ka 92a3-92b2 (vol.46, p.39)	bla na med pa'i bstod pa
	Q5471	བླ་ན་མེད་པར་བསྟོད་པ	dbu ma, gi 226b7-227a7 (vol.103, p.274-275)	bla na med par bstod pa

K0022
	D1131	འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 80a4-80b5.	'phags pa rje btsun 'jam dpal gyi don dam pa'i bstod pa zhes bya ba
	G22	ཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ་ཞེས་བྱ་བ་	bstod tshogs, ka 113b6 (p.57-4-6)	phags pa rje btsun 'jam dpal gyi don dam pa'i bstod pa zhes bya ba 
	N2022	འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 88b2-89a3. (ff.88v-89r (pp.176-177))	'phags pa rje btsun 'jam dpal gyi don dam pa'i bstod pa zhes bya ba
	Q2022	འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 92b2-93a3 (vol.46, p.39)	'phags pa rje btsun 'jam dpal gyi don dam pa'i bstod pa zhes bya ba

K0023
	D1132	རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ	bstod tshogs, ka 80b5-81b2.	rje btsun 'phags pa 'jam dpal gyi snying rje la bstod pa
	G23	རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ་	bstod tshogs, ka 115b1 (p.59-2-1)	rje btsun 'phags pa 'jam dpal gyi snying rje la bstod pa 
	N2023	རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ	bstod tshogs, ka 89a3-90a3. (ff.89r-90r (pp.177-179))	rje btsun 'phags pa 'jam dpal gyi snying rje la bstod pa
	Q2023	རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ	bstod tshogs, ka 93a4-94a4 (vol.46, p.39)	rje btsun 'phags pa 'jam dpal gyi snying rje la bstod pa

K0024
	D1133	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ	bstod tshogs, ka 81b2-82a3.	gnas chen po brgyad kyi mchod rten la bstod pa
